"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"1"	4.10283216282859e-207	0.766283774829046	0.998	0.963	1.34318519346682e-202	"0"	"GSTA1"
"2"	5.08062137211648e-113	0.671458098500664	0.836	0.614	1.66329382480349e-108	"0"	"CPS1"
"3"	5.37349921989611e-44	0.814406094827974	0.694	0.551	1.75917617460959e-39	"0"	"PEG10"
"4"	2.46372017081109e-212	1.2847335166071	0.817	0.476	8.06572709520134e-208	"1"	"DEFB1"
"5"	1.27159009441656e-124	0.832589091050742	0.528	0.246	4.16293165110093e-120	"1"	"UBD"
"6"	7.92846400124475e-98	1.3658063826844	0.453	0.215	2.59562054472751e-93	"1"	"FXYD2"
"7"	0	2.15691731243541	0.864	0.166	0	"2"	"KIAA0101"
"8"	0	1.60412564880187	0.741	0.145	0	"2"	"TK1"
"9"	4.43614908026432e-229	2.74359867894126	0.941	0.556	1.45230648589693e-224	"2"	"HIST1H4C"
"10"	0	1.9831973305668	0.759	0.11	0	"3"	"PTTG1"
"11"	3.06097917157373e-180	2.05543336046949	0.536	0.127	1.00210336118981e-175	"3"	"TOP2A"
"12"	2.41101094816343e-177	1.81814648399327	0.475	0.097	7.89316764209744e-173	"3"	"UBE2C"
"13"	1.67574854163176e-153	1.40998442002117	0.994	0.853	5.48606557559406e-149	"4"	"APOC3"
"14"	9.14712032284727e-118	1.37980538196637	0.686	0.242	2.99458425129374e-113	"4"	"SDS"
"15"	2.8582470852197e-112	1.57073003434544	0.596	0.187	9.35732930759225e-108	"4"	"PLA2G2A"
"16"	7.087436127769e-235	2.92866742929704	0.987	0.479	2.32028483950902e-230	"5"	"A1BG"
"17"	1.77856600106378e-228	3.15918678061384	0.997	0.66	5.82266937428261e-224	"5"	"SERPINC1"
"18"	1.54603710168581e-225	3.43121130797628	1	0.855	5.06141626349901e-221	"5"	"APOC3"
"19"	3.40902150779524e-131	1.34081814872599	0.997	0.99	1.116045461222e-126	"6"	"APOH"
"20"	3.84309599216377e-103	1.41842222917766	1	0.947	1.25815276591458e-98	"6"	"FGG"
"21"	1.5248209555662e-84	1.3206198365979	0.923	0.78	4.99195884433262e-80	"6"	"AADAC"
"22"	0	5.00222236512966	0.994	0.178	0	"7"	"HLA-DRA"
"23"	0	4.75181720925578	0.955	0.116	0	"7"	"C1QB"
"24"	9.67178227894783e-208	4.7436649906219	1	0.575	3.16634808248194e-203	"7"	"CD74"
"25"	7.69938640771711e-44	1.49618505207792	0.993	0.972	2.52062512215843e-39	"8"	"GSTA1"
"26"	1.1593995965014e-37	1.22319945289182	0.944	0.848	3.7956423990263e-33	"8"	"SKP1"
"27"	1.40360021594909e-16	1.0811343663914	0.917	0.848	4.59510638697412e-12	"8"	"MT1G"
"28"	0	4.09012193201567	0.949	0.034	0	"9"	"IFI27"
"29"	0	3.89473934693244	0.949	0.025	0	"9"	"SPARC"
"30"	1.77098431907541e-221	3.94931809637864	0.392	0.007	5.79784846378907e-217	"9"	"IGFBP5"
"31"	6.81865767504589e-196	4.19209610173906	0.905	0.017	2.23229214965652e-191	"10"	"RGS5"
"32"	6.40847332552292e-104	4.40541956149905	0.762	0.024	2.09800599730969e-99	"10"	"ACTA2"
"33"	1.2501792111614e-17	4.13561950599009	0.81	0.175	4.09283670150019e-13	"10"	"TIMP1"
